,co2_mean,date_time_initial_value,label,swc_2_mean,fco2_dry,ts_2_mean,ta_mean,daym,month,treatment,drying_cycle,dar,tod,rep
1,449.26,3/25/24 11:34,1,0.247,0.36763,15.95,14.17231,25,3,Disturbance,0,0,am,1
2,443.28,3/25/24 11:35,1,0.253,1.11033,16,14.56388,25,3,Disturbance,0,0,am,1
3,446.76,3/25/24 11:37,1,0.2524,0.47313,16,14.03508,25,3,Disturbance,0,0,am,1
4,446.9,3/25/24 11:40,2,0.28573,0.85661,15.8,14.87867,25,3,NPK,0,0,am,1
5,448.23,3/25/24 11:41,2,0.2931,0.77554,15.8,15.82393,25,3,NPK,0,0,am,1
6,447.78,3/25/24 11:42,2,0.295,0.91305,15.85333,16.13416,25,3,NPK,0,0,am,1
7,453.33,3/25/24 11:45,3,0.23097,1.25111,16.17,15.80837,25,3,NPK,0,0,am,1
8,454.17,3/25/24 11:46,3,0.23597,1.2637,16.49667,15.6227,25,3,NPK,0,0,am,1
9,454.1,3/25/24 11:48,3,0.2402,1.25976,16.7,15.33476,25,3,NPK,0,0,am,1
10,448.26,3/25/24 11:51,4,0.15833,0.7933,16.92667,16.10369,25,3,Control,0,0,am,1
11,446.41,3/25/24 11:52,4,0.255,0.78372,17.31,16.46505,25,3,Control,0,0,am,1
12,449.12,3/25/24 11:54,4,0.25593,0.89477,17.5,15.77282,25,3,Control,0,0,am,1
13,448.05,3/25/24 11:57,OC1,0.25468,0.59105,17.57667,16.22453,25,3,Outside_treatments,0,0,am,0
14,448.69,3/25/24 11:58,OC1,0.26063,0.54186,17.7,16.23556,25,3,Outside_treatments,0,0,am,0
15,449.02,3/25/24 11:59,OC1,0.26293,0.56093,17.7,15.69515,25,3,Outside_treatments,0,0,am,0
16,451.96,3/25/24 12:02,5,0.25508,1.08558,17.7,14.64893,25,3,NPK+Disturbance,0,0,pm,1
17,450.96,3/25/24 12:03,5,0.25467,0.96628,17.53333,15.08808,25,3,NPK+Disturbance,0,0,pm,1
18,450.76,3/25/24 12:04,5,0.257,1.07118,17.5,14.4979,25,3,NPK+Disturbance,0,0,pm,1
19,449.64,3/25/24 12:08,6,0.26457,0.82735,17.24333,15.3773,25,3,NPK+Disturbance,0,0,pm,2
