CHAMBER,LI-8200,,LI-870,LI-8200,CHAMBER,LI-870
TA initial_value,PA initial_value,VOLUME_TOTAL,CO2 mean,LABEL,SWC_2 mean,FCO2_DRY
[C],[kPa],[cm+3],[umol+1mol-1],[#],[m+3m-3],[umol+1m-2s-1]
15.410870,99.560000,21335.600000,522.220000,1,0.348000,0.572210
15.153140,99.570000,21335.600000,451.600000,1,0.348000,0.445790
15.386630,99.560000,21335.600000,451.780000,1,0.334070,0.463840
16.482780,99.570000,25624.340000,453.640000,13,0.327070,0.980650
15.895670,99.570000,25624.340000,453.810000,13,0.330000,0.962190
15.931700,99.560000,25624.340000,454.150000,13,0.330620,1.055260
15.706470,99.580000,23758.730000,451.660000,14,0.198600,0.427210
15.915600,99.570000,23758.730000,451.820000,14,0.015750,0.409510
16.118770,99.570000,23758.730000,452.690000,14,0.122400,0.375530
15.267700,99.560000,24273.380000,453.920000,24,0.317850,0.870070
16.324590,99.550000,24273.380000,453.750000,24,0.320000,0.733570
16.293240,99.560000,24273.380000,453.850000,24,0.320000,0.730850
15.856660,99.550000,20756.620000,458.040000,OC3,0.384000,1.195330
16.608850,99.550000,20756.620000,457.300000,OC3,0.384000,1.082850
17.098450,99.550000,20756.620000,457.640000,OC3,0.384000,1.014430
17.996050,99.540000,25688.670000,456.960000,25,0.315250,1.014180
18.643510,99.540000,25688.670000,456.170000,25,0.318520,0.961790
19.469330,99.540000,25688.670000,456.380000,25,0.322730,0.952720
15.532040,99.510000,22193.340000,455.160000,16,0.295130,0.847800
16.010180,99.510000,22193.340000,456.340000,16,0.298930,1.065700
15.944570,99.510000,22193.340000,455.990000,16,0.298200,1.012940
16.796720,99.500000,23544.300000,457.080000,17,0.245000,0.988510
16.822500,99.510000,23544.300000,457.780000,17,0.252100,1.066800
16.756900,99.510000,23544.300000,457.630000,17,0.253530,1.115080
18.481630,99.490000,23630.070000,453.610000,OC5,0.233930,0.663140
19.088910,99.490000,23630.070000,454.280000,OC5,0.319830,0.694170
19.424280,99.490000,23630.070000,453.660000,OC5,0.319000,0.657870
16.657730,99.490000,22472.110000,452.550000,23,0.345400,0.645550
16.444840,99.480000,22472.110000,452.990000,23,0.344000,0.666560
15.858320,99.480000,22472.110000,453.360000,23,0.343000,0.671640
17.218770,99.490000,22836.660000,455.820000,OC4,0.362000,1.124470
17.883600,99.460000,22836.660000,456.190000,OC4,0.361430,0.857340
18.511770,99.450000,22836.660000,457.420000,OC4,0.362000,0.907150
16.483530,99.450000,21914.580000,455.970000,22,0.378000,0.840170
16.744490,99.440000,21914.580000,455.770000,22,0.378000,0.946520
16.818740,99.430000,21914.580000,456.240000,22,0.378000,1.136930
16.999370,99.440000,22043.240000,461.050000,21,0.283080,1.608580
17.106480,99.450000,22043.240000,460.070000,21,0.395000,1.493930
17.118570,99.450000,22043.240000,460.120000,21,0.395000,1.490070
15.982020,99.460000,21399.930000,453.860000,20,0.392480,0.816520
15.386700,99.420000,21399.930000,453.580000,20,0.392000,0.766630
15.084270,99.440000,21399.930000,453.840000,20,0.391000,0.701200
17.331990,99.440000,25838.770000,454.880000,19,0.211670,0.799770
17.188400,99.430000,25838.770000,456.150000,19,0.253000,0.972180
