CO2 mean,DATE_TIME initial_value,LABEL,SWC_2 mean,FCO2_DRY,TS_2 mean,TA mean
449.260000,2024/03/25 11:34:25,1,0.247000,0.367630,15.950000,14.172310
443.280000,2024/03/25 11:35:50,1,0.253000,1.110330,16.000000,14.563880
446.760000,2024/03/25 11:37:15,1,0.252400,0.473130,16.000000,14.035080
446.900000,2024/03/25 11:40:06,2,0.285730,0.856610,15.800000,14.878670
448.230000,2024/03/25 11:41:31,2,0.293100,0.775540,15.800000,15.823930
447.780000,2024/03/25 11:42:56,2,0.295000,0.913050,15.853330,16.134160
453.330000,2024/03/25 11:45:13,3,0.230970,1.251110,16.170000,15.808370
454.170000,2024/03/25 11:46:38,3,0.235970,1.263700,16.496670,15.622700
454.100000,2024/03/25 11:48:03,3,0.240200,1.259760,16.700000,15.334760
448.260000,2024/03/25 11:51:17,4,0.158330,0.793300,16.926670,16.103690
446.410000,2024/03/25 11:52:43,4,0.255000,0.783720,17.310000,16.465050
449.120000,2024/03/25 11:54:08,4,0.255930,0.894770,17.500000,15.772820
448.050000,2024/03/25 11:57:03,OC1,0.254680,0.591050,17.576670,16.224530
448.690000,2024/03/25 11:58:28,OC1,0.260630,0.541860,17.700000,16.235560
449.020000,2024/03/25 11:59:54,OC1,0.262930,0.560930,17.700000,15.695150
451.960000,2024/03/25 12:02:05,5,0.255080,1.085580,17.700000,14.648930
450.960000,2024/03/25 12:03:30,5,0.254670,0.966280,17.533330,15.088080
450.760000,2024/03/25 12:04:56,5,0.257000,1.071180,17.500000,14.497900
449.640000,2024/03/25 12:08:05,6,0.264570,0.827350,17.243330,15.377300
449.800000,2024/03/25 12:09:31,6,0.267400,0.726440,17.300000,15.116770
450.030000,2024/03/25 12:10:57,6,0.267600,0.740890,17.360000,15.833880
451.350000,2024/03/25 12:13:11,7,0.137950,0.908600,17.603330,15.811200
450.850000,2024/03/25 12:14:36,7,0.270730,0.926040,17.886670,15.831320
451.310000,2024/03/25 12:16:02,7,0.274370,0.895850,17.963330,15.520600
449.530000,2024/03/25 12:19:04,8,0.245830,0.699780,17.416670,13.811750
450.030000,2024/03/25 12:20:29,8,0.244500,0.781610,17.300000,14.391850
450.190000,2024/03/25 12:21:55,8,0.249200,0.689240,17.200000,14.072580
445.240000,2024/03/25 12:24:24,9,0.072600,0.759430,17.000000,15.653520
447.510000,2024/03/25 12:25:50,9,0.078330,0.743700,17.033330,15.923050
450.330000,2024/03/25 12:27:15,9,0.072670,0.739920,17.200000,15.144570
456.520000,2024/03/25 12:30:08,OC2,0.103480,1.609490,17.096670,14.822660
457.160000,2024/03/25 12:31:33,OC2,0.104000,1.615540,17.290000,15.142770
455.890000,2024/03/25 12:32:59,OC2,0.101330,1.791040,17.366670,15.828960
450.790000,2024/03/25 12:34:59,10,0.264000,0.774170,17.433330,14.006220
450.910000,2024/03/25 12:36:25,10,0.269500,0.794000,17.075000,13.919250
450.140000,2024/03/25 12:37:50,10,0.269000,0.897960,16.783330,13.921590
450.950000,2024/03/25 12:40:47,11,0.210470,1.128680,16.326670,14.826120
451.000000,2024/03/25 12:42:13,11,0.209750,0.905040,16.500000,15.514510
450.680000,2024/03/25 12:43:39,11,0.208000,1.187920,16.500000,15.661690
447.290000,2024/03/25 12:45:50,12,0.293170,0.612840,16.533330,16.109980
448.460000,2024/03/25 12:47:15,12,0.294580,0.673440,16.700000,14.701820
447.790000,2024/03/25 12:48:40,12,0.296980,0.542820,16.496670,14.420410
