label,daym,month,tod,swc_2_mean,fco2_dry,ts_2_mean,ta_mean,treatment,date_time_initial_value,drying_cycle,dar,rep,date,fdate
1,1,4,am,0.12741666666666668,0.67486,21.54111,22.328229999999998,Disturbance,2024-04-01T14:03:00Z,3,6,1,2024-04-01,2024-04-01
1,5,2,pm,0.378,0.39780333333333334,12.141666666666666,11.509310000000001,Disturbance,2024-02-05T17:04:33Z,2,1,1,2024-02-05,2024-02-05
1,6,2,pm,0.28595000000000004,0.51121,19.233333333333334,19.309623333333334,Disturbance,2024-02-06T18:38:05Z,2,2,1,2024-02-06,2024-02-06
1,7,2,pm,0.30507666666666666,0.4655566666666667,17.271113333333332,17.204423333333335,Disturbance,2024-02-07T20:59:09Z,2,3,1,2024-02-07,2024-02-07
1,25,3,am,0.2508,0.6503633333333334,15.983333333333333,14.25709,Disturbance,2024-03-25T15:34:25Z,0,0,1,2024-03-25,2024-03-25
1,27,3,am,0.3680866666666667,0.4434533333333333,13.83278,12.746666666666666,Disturbance,2024-03-27T11:58:55Z,3,1,1,2024-03-27,2024-03-27
1,27,3,pm,0.3543966666666667,1.3355,30.636666666666667,26.018306666666668,Disturbance,2024-03-27T17:50:59Z,3,1,1,2024-03-27,2024-03-27
1,28,3,pm,0.32408333333333333,1.1722866666666667,27.3,26.187603333333332,Disturbance,2024-03-28T18:42:43Z,3,2,1,2024-03-28,2024-03-28
1,29,1,am,0.34335666666666664,0.49394666666666665,15.105556666666667,15.321793333333334,Disturbance,2024-01-29T16:54:40Z,1,1,1,2024-01-29,2024-01-29
1,29,3,am,0.27418333333333333,0.38632333333333335,12.52,13.715563333333334,Disturbance,2024-03-29T13:27:49Z,3,3,1,2024-03-29,2024-03-29
1,30,1,pm,0.35606333333333334,0.8058666666666666,18.41889,18.165983333333333,Disturbance,2024-01-30T18:28:38Z,1,2,1,2024-01-30,2024-01-30
1,31,1,pm,0.3065,0.6088,19.16777666666667,19.22197,Disturbance,2024-01-31T18:55:43Z,1,3,1,2024-01-31,2024-01-31
10,1,4,am,0.20125666666666667,1.0774833333333333,17.184443333333334,17.158160000000002,NPK,2024-04-01T12:51:48Z,3,6,2,2024-04-01,2024-04-01
10,5,2,pm,0.28997333333333336,0.5909,15.5,15.9133,NPK,2024-02-05T19:16:13Z,2,1,2,2024-02-05,2024-02-05
10,6,2,pm,0.2852,0.5371533333333334,19.036666666666665,19.02977,NPK,2024-02-06T19:48:31Z,2,2,2,2024-02-06,2024-02-06
